Id,Time,Machine,Component,Parameter,Value
44,20-05-2022 08:34,Articulated_Truck_1,Drive,Pedal Sensor,4.873893096
45,17-05-2022 04:51,Dozer_1,Misc,System Voltage,12.97522817
19,04-06-2022 13:31,Dozer_1,Engine,Speed,1764.137393
30,11-06-2022 21:31,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,209.7893115
31,13-06-2022 13:46,Excavator_1,Engine,Oil Pressure,30.72671735
17,17-06-2022 05:25,Articulated_Truck_1,Drive,Brake Control,2.119083955
20,26-05-2022 06:06,Dozer_1,Drive,Brake Control,10.59541977
22,09-05-2022 02:05,Backhoe_Loader_1,Drive,Pedal Sensor,3.329126673
34,13-05-2022 20:51,Dozer_1,Drive,Transmission Pressure,263.8259524
31,14-06-2022 21:59,Excavator_1,Fuel,Water in Fuel,437.5908367
21,03-06-2022 01:26,Backhoe_Loader_1,Fuel,Water in Fuel,1377.404571
27,09-05-2022 05:13,Dozer_1,Drive,Brake Control,1.059541977
26,07-06-2022 19:41,Excavator_1,Engine,Temparature,98.53740391
6,27-05-2022 23:46,Dozer_1,Drive,Transmission Pressure,235.218319
42,17-06-2022 22:02,Excavator_1,Fuel,Water in Fuel,1109.34045
29,27-06-2022 20:22,Dozer_1,Fuel,Water in Fuel,393.0900736
38,18-05-2022 18:36,Dozer_1,Engine,Speed,1826.650369
31,05-05-2022 23:19,Backhoe_Loader_1,Drive,Pedal Sensor,4.829285551
21,27-06-2022 13:06,Excavator_1,Drive,Transmission Pressure,396.2686996
7,27-06-2022 21:18,Backhoe_Loader_1,Fuel,Temparature,238.3969449
32,28-05-2022 10:16,Articulated_Truck_1,Misc,Air Filter Pressure,37.08396921
17,27-06-2022 23:49,Backhoe_Loader_1,Fuel,Water in Fuel,1303.236632
19,21-05-2022 12:46,Excavator_1,Misc,Hydraulic Pump Rate,101.7160298
40,12-05-2022 04:55,Articulated_Truck_1,Misc,Air Filter Pressure,38.14351119
39,04-06-2022 02:56,Dozer_1,Fuel,Water in Fuel,368.7206082
17,09-05-2022 05:29,Backhoe_Loader_1,Drive,Brake Control,2.119083955
3,07-05-2022 16:15,Excavator_1,Engine,Oil Pressure,62.51297667
6,28-06-2022 13:49,Dozer_1,Engine,Oil Pressure,64.63206063
10,09-05-2022 09:14,Articulated_Truck_1,Engine,Speed,1907.175559
23,30-05-2022 05:05,Excavator_1,Engine,Speed,1687.85037
6,06-05-2022 05:00,Excavator_1,Drive,Transmission Pressure,270.1832043
33,18-06-2022 12:26,Articulated_Truck_1,Misc,System Voltage,15.99908386
48,25-06-2022 16:29,Dozer_1,Engine,Temparature,110.1923657
47,24-05-2022 05:15,Dozer_1,Drive,Brake Control,3.178625932
23,26-06-2022 09:05,Excavator_1,Fuel,Temparature,317.8625932
4,22-05-2022 23:13,Excavator_1,Fuel,Pressure,45.56030503
35,06-06-2022 11:23,Articulated_Truck_1,Fuel,Water in Fuel,152.5740448
40,12-05-2022 07:55,Excavator_1,Engine,Temparature,79.46564831
15,13-06-2022 06:03,Dozer_1,Drive,Transmission Pressure,268.0641203
46,03-05-2022 22:05,Dozer_1,Misc,Exhaust Gas Temparature,308.3267154
45,21-06-2022 16:34,Backhoe_Loader_1,Misc,System Voltage,15.66083896
10,27-05-2022 15:05,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,375.07786
23,25-06-2022 08:31,Dozer_1,Drive,Transmission Pressure,476.7938899
31,21-06-2022 14:37,Articulated_Truck_1,Misc,Hydraulic Pump Rate,125.0259533
6,03-06-2022 18:21,Excavator_1,Fuel,Level,10.59541977
25,14-06-2022 01:45,Dozer_1,Drive,Transmission Pressure,460.9007602
28,01-06-2022 18:40,Dozer_1,Fuel,Pressure,57.21526678
36,30-06-2022 05:14,Backhoe_Loader_1,Drive,Brake Control,4.23816791
19,16-05-2022 16:26,Excavator_1,Drive,Brake Control,8.47633582
21,06-06-2022 19:04,Excavator_1,Engine,Speed,1813.935865
44,16-06-2022 04:04,Excavator_1,Misc,Air Filter Pressure,32.8458013
20,21-06-2022 14:25,Dozer_1,Engine,Oil Pressure,57.21526678
43,29-05-2022 10:08,Articulated_Truck_1,Drive,Transmission Pressure,317.8625932
4,16-05-2022 08:00,Dozer_1,Engine,Temparature,94.299236
42,09-05-2022 09:11,Dozer_1,Fuel,Water in Fuel,1249.199991
45,26-06-2022 05:57,Articulated_Truck_1,Drive,Transmission Pressure,390.9709897
19,20-06-2022 13:46,Articulated_Truck_1,Engine,Speed,1748.244263
8,05-05-2022 11:01,Dozer_1,Misc,Air Filter Pressure,22.25038153
24,04-05-2022 04:55,Excavator_1,Fuel,Pressure,39.20305317
40,09-06-2022 16:33,Backhoe_Loader_1,Engine,Temparature,98.53740391
36,15-05-2022 14:06,Dozer_1,Misc,Air Filter Pressure,27.54809141
23,09-06-2022 23:05,Articulated_Truck_1,Drive,Transmission Pressure,340.1129748
50,06-06-2022 13:37,Dozer_1,Misc,Exhaust Gas Temparature,317.8625932
47,14-06-2022 04:29,Dozer_1,Misc,Hydraulic Pump Rate,126.0854953
10,19-06-2022 18:36,Excavator_1,Engine,Speed,1864.79388
14,20-06-2022 09:17,Articulated_Truck_1,Fuel,Level,9.535877797
25,02-05-2022 17:27,Backhoe_Loader_1,Misc,System Voltage,15.20888742
45,13-05-2022 23:56,Excavator_1,Fuel,Pressure,39.20305317
22,21-06-2022 03:15,Articulated_Truck_1,Misc,Exhaust Gas Temparature,222.5038153
47,03-06-2022 00:49,Backhoe_Loader_1,Engine,Oil Pressure,27.54809141
28,08-05-2022 10:59,Backhoe_Loader_1,Drive,Brake Control,2.119083955
4,05-06-2022 00:21,Excavator_1,Misc,Air Filter Pressure,23.3099235
13,10-06-2022 15:00,Backhoe_Loader_1,Engine,Temparature,83.70381622
20,14-06-2022 12:34,Backhoe_Loader_1,Misc,Air Filter Pressure,24.36946548
16,22-06-2022 02:38,Backhoe_Loader_1,Engine,Speed,1847.841209
29,22-06-2022 14:04,Articulated_Truck_1,Misc,System Voltage,14.0919083
23,09-05-2022 15:32,Backhoe_Loader_1,Engine,Speed,1506.668692
21,29-05-2022 16:46,Articulated_Truck_1,Misc,System Voltage,15.57526707
31,16-05-2022 23:49,Backhoe_Loader_1,Fuel,Water in Fuel,416.3999972
50,07-06-2022 09:20,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,210.8488535
24,02-06-2022 22:34,Dozer_1,Misc,Air Filter Pressure,21.19083955
13,04-06-2022 18:32,Dozer_1,Fuel,Water in Fuel,244.7541968
29,14-05-2022 13:38,Backhoe_Loader_1,Engine,Temparature,92.18015204
28,07-06-2022 12:07,Articulated_Truck_1,Misc,Air Filter Pressure,34.96488526
31,24-05-2022 09:35,Excavator_1,Misc,Hydraulic Pump Rate,108.0732817
49,02-06-2022 02:02,Excavator_1,Drive,Brake Control,7.416793842
19,04-06-2022 19:05,Excavator_1,Fuel,Temparature,312.5648834
24,30-06-2022 05:18,Backhoe_Loader_1,Misc,Air Filter Pressure,24.36946548
26,06-06-2022 02:45,Dozer_1,Engine,Temparature,94.299236
45,07-06-2022 19:16,Backhoe_Loader_1,Engine,Speed,1481.239685
32,18-05-2022 07:43,Backhoe_Loader_1,Drive,Transmission Pressure,399.4473255
9,16-06-2022 18:04,Articulated_Truck_1,Drive,Brake Control,3.178625932
48,06-05-2022 18:11,Articulated_Truck_1,Fuel,Temparature,0
31,18-06-2022 12:33,Dozer_1,Engine,Oil Pressure,52.97709887
27,27-06-2022 14:43,Articulated_Truck_1,Misc,Hydraulic Pump Rate,126.0854953
7,19-06-2022 05:59,Dozer_1,Misc,Hydraulic Pump Rate,126.0854953
14,21-05-2022 20:03,Articulated_Truck_1,Misc,Exhaust Gas Temparature,280.778624
2,01-06-2022 06:08,Dozer_1,Drive,Transmission Pressure,357.0656464
29,20-06-2022 12:34,Backhoe_Loader_1,Fuel,Water in Fuel,1891.28243
21,12-06-2022 05:42,Dozer_1,Engine,Speed,1481.239685
14,29-05-2022 13:59,Dozer_1,Engine,Oil Pressure,52.97709887
24,23-06-2022 02:05,Dozer_1,Engine,Temparature,100.6564879
25,18-05-2022 23:31,Backhoe_Loader_1,Engine,Oil Pressure,58.27480876
5,24-06-2022 17:00,Dozer_1,Engine,Speed,1542.693119
22,03-06-2022 22:35,Backhoe_Loader_1,Engine,Oil Pressure,41.32213712
15,14-06-2022 16:03,Articulated_Truck_1,Engine,Temparature,105.9541977
27,09-06-2022 15:48,Articulated_Truck_1,Fuel,Temparature,0
8,18-05-2022 16:12,Backhoe_Loader_1,Misc,Air Filter Pressure,28.60763339
46,01-05-2022 06:33,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,314.6839673
9,18-06-2022 10:48,Articulated_Truck_1,Engine,Oil Pressure,67.81068656
12,12-05-2022 21:22,Excavator_1,Fuel,Pressure,37.08396921
14,28-05-2022 05:42,Dozer_1,Fuel,Level,6.357251865
18,09-05-2022 01:20,Dozer_1,Fuel,Level,3.178625932
41,10-05-2022 04:13,Dozer_1,Fuel,Level,5.297709887
5,19-06-2022 00:00,Backhoe_Loader_1,Fuel,Water in Fuel,132.4427472
43,27-05-2022 18:46,Dozer_1,Fuel,Level,2.119083955
29,10-05-2022 05:58,Backhoe_Loader_1,Drive,Brake Control,8.47633582
5,29-05-2022 00:32,Excavator_1,Drive,Pedal Sensor,3.948042953
21,06-06-2022 17:28,Backhoe_Loader_1,Drive,Transmission Pressure,428.0549589
46,28-05-2022 12:10,Dozer_1,Drive,Pedal Sensor,5.281730709
38,03-06-2022 14:43,Excavator_1,Misc,Exhaust Gas Temparature,368.7206082
23,21-06-2022 05:32,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,101.7160298
1,12-05-2022 09:47,Articulated_Truck_1,Engine,Speed,1801.221362
12,14-05-2022 09:28,Excavator_1,Drive,Pedal Sensor,4.812763363
3,15-05-2022 18:09,Dozer_1,Fuel,Temparature,315.7435093
40,11-05-2022 14:11,Excavator_1,Misc,Air Filter Pressure,21.19083955
40,15-06-2022 17:27,Backhoe_Loader_1,Misc,Air Filter Pressure,24.36946548
11,06-05-2022 16:01,Articulated_Truck_1,Misc,Hydraulic Pump Rate,116.5496175
5,20-06-2022 12:05,Excavator_1,Misc,System Voltage,14.57994652
16,23-05-2022 01:33,Articulated_Truck_1,Engine,Speed,1541.633577
35,03-05-2022 17:36,Excavator_1,Misc,Hydraulic Pump Rate,127.1450373
28,19-05-2022 19:47,Excavator_1,Misc,Air Filter Pressure,37.08396921
46,30-06-2022 03:37,Dozer_1,Engine,Temparature,94.299236
20,25-05-2022 02:23,Excavator_1,Fuel,Pressure,47.67938899
7,28-05-2022 23:52,Articulated_Truck_1,Engine,Temparature,84.7633582
45,25-05-2022 09:44,Backhoe_Loader_1,Fuel,Pressure,46.61984701
44,05-05-2022 09:52,Backhoe_Loader_1,Misc,Air Filter Pressure,30.72671735
20,09-06-2022 03:52,Articulated_Truck_1,Fuel,Pressure,65.6916026
3,01-06-2022 18:55,Articulated_Truck_1,Engine,Oil Pressure,63.57251865
7,14-05-2022 13:26,Excavator_1,Misc,Hydraulic Pump Rate,97.47786193
16,17-05-2022 20:48,Dozer_1,Misc,Air Filter Pressure,32.8458013
25,17-06-2022 23:54,Articulated_Truck_1,Misc,System Voltage,15.78717546
18,16-05-2022 21:44,Backhoe_Loader_1,Engine,Temparature,98.53740391
11,06-05-2022 20:00,Excavator_1,Drive,Transmission Pressure,469.377096
15,12-05-2022 03:24,Dozer_1,Misc,Hydraulic Pump Rate,117.6091595
10,27-05-2022 18:48,Backhoe_Loader_1,Drive,Brake Control,9.535877797
18,12-06-2022 14:23,Dozer_1,Drive,Brake Control,2.119083955
50,24-05-2022 13:05,Dozer_1,Drive,Transmission Pressure,470.436638
6,29-06-2022 02:58,Articulated_Truck_1,Drive,Transmission Pressure,397.3282416
19,20-06-2022 02:33,Backhoe_Loader_1,Engine,Speed,1765.196934
19,24-06-2022 02:03,Articulated_Truck_1,Drive,Brake Control,4.23816791
17,06-06-2022 23:08,Dozer_1,Fuel,Water in Fuel,1282.045793
30,13-05-2022 08:52,Dozer_1,Misc,Exhaust Gas Temparature,374.0183181
11,28-06-2022 19:18,Articulated_Truck_1,Fuel,Temparature,0
10,24-06-2022 09:38,Articulated_Truck_1,Fuel,Level,9.535877797
37,23-06-2022 05:33,Excavator_1,Engine,Temparature,97.47786193
50,21-06-2022 13:02,Dozer_1,Engine,Oil Pressure,67.81068656
20,28-06-2022 05:59,Backhoe_Loader_1,Drive,Brake Control,9.535877797
26,02-05-2022 04:59,Excavator_1,Misc,Exhaust Gas Temparature,365.5419822
48,21-06-2022 08:14,Backhoe_Loader_1,Fuel,Temparature,334.8152649
21,25-05-2022 08:41,Excavator_1,Fuel,Water in Fuel,278.6595401
17,13-05-2022 19:38,Backhoe_Loader_1,Engine,Oil Pressure,42.3816791
41,06-06-2022 13:10,Excavator_1,Fuel,Level,3.178625932
22,25-06-2022 20:18,Articulated_Truck_1,Engine,Oil Pressure,68.87022854
7,09-05-2022 12:13,Dozer_1,Drive,Pedal Sensor,3.848774039
1,28-06-2022 23:08,Dozer_1,Drive,Brake Control,7.416793842
40,28-06-2022 18:33,Excavator_1,Fuel,Level,6.357251865
43,20-05-2022 15:01,Excavator_1,Drive,Transmission Pressure,291.3740438
22,02-05-2022 07:48,Excavator_1,Misc,Exhaust Gas Temparature,254.2900746
18,23-06-2022 07:57,Excavator_1,Fuel,Level,6.357251865
16,10-05-2022 14:45,Backhoe_Loader_1,Misc,Air Filter Pressure,28.60763339
6,04-05-2022 21:10,Dozer_1,Misc,Exhaust Gas Temparature,389.9114477
25,30-06-2022 22:11,Articulated_Truck_1,Fuel,Water in Fuel,118.6687015
42,30-06-2022 03:23,Excavator_1,Drive,Pedal Sensor,5.053648865
36,16-05-2022 17:11,Dozer_1,Drive,Brake Control,10.59541977
15,28-06-2022 11:29,Backhoe_Loader_1,Engine,Temparature,98.53740391
46,18-06-2022 17:38,Dozer_1,Fuel,Water in Fuel,1092.387779
11,07-05-2022 18:50,Backhoe_Loader_1,Drive,Transmission Pressure,407.9236613
3,19-06-2022 04:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,121.8473274
43,07-05-2022 01:46,Excavator_1,Fuel,Level,9.535877797
27,22-06-2022 07:08,Excavator_1,Engine,Speed,1783.209148
35,12-06-2022 09:01,Dozer_1,Drive,Pedal Sensor,3.871652525
11,26-06-2022 04:18,Excavator_1,Fuel,Temparature,412.1618292
26,18-06-2022 19:57,Dozer_1,Misc,Exhaust Gas Temparature,241.5755709
20,15-06-2022 16:45,Articulated_Truck_1,Misc,Air Filter Pressure,30.72671735
18,07-06-2022 02:38,Articulated_Truck_1,Fuel,Level,7.416793842
47,26-06-2022 10:29,Backhoe_Loader_1,Drive,Brake Control,8.47633582
7,22-05-2022 15:47,Backhoe_Loader_1,Drive,Pedal Sensor,4.034310665
39,09-05-2022 08:23,Articulated_Truck_1,Engine,Oil Pressure,48.73893096
26,29-05-2022 05:21,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,280.778624
10,06-06-2022 17:21,Dozer_1,Engine,Speed,1675.135866
31,13-06-2022 19:53,Articulated_Truck_1,Drive,Pedal Sensor,3.920305317
30,24-06-2022 15:39,Excavator_1,Drive,Transmission Pressure,290.3145018
15,29-06-2022 01:08,Articulated_Truck_1,Drive,Transmission Pressure,357.0656464
30,04-06-2022 22:21,Articulated_Truck_1,Fuel,Level,4.23816791
44,01-05-2022 15:13,Dozer_1,Drive,Pedal Sensor,4.490339826
6,23-06-2022 17:33,Backhoe_Loader_1,Drive,Transmission Pressure,398.3877835
7,05-05-2022 13:18,Excavator_1,Drive,Pedal Sensor,3.467195249
37,15-06-2022 00:53,Dozer_1,Engine,Temparature,94.299236
44,15-05-2022 18:00,Articulated_Truck_1,Engine,Oil Pressure,46.61984701
20,19-05-2022 10:27,Excavator_1,Engine,Oil Pressure,61.45343469
14,09-05-2022 12:01,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,385.6732798
21,28-05-2022 06:46,Dozer_1,Fuel,Water in Fuel,1579.777088
29,23-05-2022 18:32,Dozer_1,Misc,System Voltage,14.21652492
9,03-05-2022 12:48,Dozer_1,Drive,Brake Control,5.297709887
14,10-05-2022 02:55,Excavator_1,Fuel,Level,4.23816791
11,29-05-2022 10:17,Dozer_1,Misc,Hydraulic Pump Rate,127.1450373
4,25-06-2022 22:35,Dozer_1,Misc,Air Filter Pressure,36.02442723
43,02-06-2022 08:59,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,86.88244215
29,14-06-2022 19:10,Excavator_1,Drive,Brake Control,1.059541977
9,20-05-2022 11:47,Backhoe_Loader_1,Engine,Oil Pressure,51.9175569
16,21-05-2022 01:03,Articulated_Truck_1,Misc,Air Filter Pressure,28.60763339
19,26-05-2022 00:09,Dozer_1,Fuel,Temparature,399.4473255
24,14-06-2022 08:05,Articulated_Truck_1,Drive,Pedal Sensor,4.767938899
23,18-06-2022 19:07,Articulated_Truck_1,Misc,Hydraulic Pump Rate,130.3236632
44,21-05-2022 16:46,Excavator_1,Fuel,Temparature,275.4809141
27,26-05-2022 21:27,Articulated_Truck_1,Engine,Speed,1557.526707
35,27-05-2022 13:21,Excavator_1,Engine,Temparature,83.70381622
21,02-06-2022 11:18,Articulated_Truck_1,Engine,Speed,1737.648843
26,16-06-2022 14:33,Excavator_1,Fuel,Level,9.535877797
32,11-05-2022 06:13,Dozer_1,Engine,Speed,1650.766401
21,24-06-2022 04:29,Backhoe_Loader_1,Misc,System Voltage,15.92740236
28,18-05-2022 19:01,Dozer_1,Engine,Oil Pressure,40.26259514
11,10-06-2022 14:57,Dozer_1,Fuel,Temparature,261.7068684
9,26-05-2022 20:01,Backhoe_Loader_1,Misc,System Voltage,14.3298075
30,11-06-2022 11:19,Backhoe_Loader_1,Drive,Transmission Pressure,271.2427462
45,05-05-2022 04:52,Articulated_Truck_1,Fuel,Pressure,46.61984701
39,03-05-2022 14:03,Excavator_1,Engine,Oil Pressure,43.44122108
5,22-05-2022 12:43,Backhoe_Loader_1,Misc,System Voltage,15.88890693
43,20-06-2022 17:33,Articulated_Truck_1,Fuel,Level,4.23816791
18,29-06-2022 22:26,Excavator_1,Misc,Exhaust Gas Temparature,225.6824412
25,03-05-2022 06:45,Dozer_1,Misc,System Voltage,15.89179383
33,01-05-2022 04:00,Dozer_1,Engine,Oil Pressure,65.6916026
13,16-06-2022 09:20,Backhoe_Loader_1,Fuel,Water in Fuel,410.0427453
9,11-05-2022 08:31,Excavator_1,Engine,Oil Pressure,63.57251865
26,07-06-2022 18:45,Dozer_1,Drive,Pedal Sensor,4.099396829
38,15-06-2022 03:59,Dozer_1,Misc,Exhaust Gas Temparature,327.398471
3,27-05-2022 06:31,Excavator_1,Misc,Hydraulic Pump Rate,131.3832052
9,30-05-2022 14:08,Dozer_1,Engine,Oil Pressure,26.48854944
50,21-05-2022 16:36,Excavator_1,Drive,Transmission Pressure,384.6137378
33,13-05-2022 05:53,Excavator_1,Fuel,Temparature,372.9587761
41,06-05-2022 01:09,Excavator_1,Misc,System Voltage,16.0541979
9,18-05-2022 21:05,Excavator_1,Fuel,Water in Fuel,447.1267145
16,02-06-2022 17:40,Dozer_1,Drive,Pedal Sensor,3.353411799
3,29-06-2022 22:33,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,100.6564879
1,29-06-2022 22:23,Excavator_1,Drive,Brake Control,9.535877797
34,21-06-2022 04:35,Backhoe_Loader_1,Drive,Transmission Pressure,458.7816763
9,20-05-2022 12:23,Backhoe_Loader_1,Fuel,Water in Fuel,1798.042736
17,10-05-2022 15:23,Excavator_1,Drive,Brake Control,4.23816791
29,08-05-2022 22:00,Excavator_1,Engine,Temparature,92.18015204
32,20-06-2022 05:53,Excavator_1,Drive,Transmission Pressure,420.6381651
33,07-06-2022 12:29,Dozer_1,Drive,Pedal Sensor,4.726667851
17,05-06-2022 03:39,Dozer_1,Engine,Oil Pressure,45.56030503
28,17-05-2022 08:03,Articulated_Truck_1,Fuel,Pressure,62.51297667
11,20-06-2022 09:55,Backhoe_Loader_1,Engine,Oil Pressure,49.79847294
34,27-05-2022 20:00,Articulated_Truck_1,Misc,Exhaust Gas Temparature,187.53893
48,22-06-2022 06:00,Dozer_1,Fuel,Temparature,326.3389291
26,15-05-2022 22:43,Backhoe_Loader_1,Fuel,Level,5.297709887
29,06-05-2022 09:45,Articulated_Truck_1,Fuel,Water in Fuel,126.0854953
35,25-05-2022 10:00,Articulated_Truck_1,Drive,Pedal Sensor,3.814351119
16,22-05-2022 07:50,Backhoe_Loader_1,Fuel,Pressure,60.39389272
15,23-05-2022 21:06,Excavator_1,Drive,Transmission Pressure,403.6854934
41,23-05-2022 11:09,Backhoe_Loader_1,Misc,System Voltage,14.43652994
9,26-05-2022 18:34,Articulated_Truck_1,Fuel,Water in Fuel,77.34656436
40,01-05-2022 00:19,Dozer_1,Drive,Transmission Pressure,308.3267154
48,21-06-2022 04:13,Backhoe_Loader_1,Misc,Air Filter Pressure,36.02442723
16,04-05-2022 05:16,Excavator_1,Engine,Speed,1763.077851
28,07-06-2022 11:31,Articulated_Truck_1,Engine,Oil Pressure,38.14351119
35,27-05-2022 22:00,Dozer_1,Misc,Hydraulic Pump Rate,114.4305336
47,25-05-2022 10:28,Dozer_1,Engine,Oil Pressure,27.54809141
46,17-06-2022 13:33,Backhoe_Loader_1,Drive,Pedal Sensor,5.223320562
50,09-05-2022 03:25,Excavator_1,Misc,Exhaust Gas Temparature,277.5999981
13,15-05-2022 22:24,Articulated_Truck_1,Engine,Temparature,95.35877797
8,01-05-2022 19:51,Articulated_Truck_1,Engine,Speed,1695.267164
50,26-06-2022 11:10,Dozer_1,Fuel,Water in Fuel,1449.453425
8,04-06-2022 22:55,Backhoe_Loader_1,Drive,Brake Control,3.178625932
6,07-06-2022 14:19,Articulated_Truck_1,Fuel,Level,9.535877797
1,27-06-2022 21:17,Excavator_1,Fuel,Water in Fuel,459.8412182
27,20-05-2022 19:45,Backhoe_Loader_1,Drive,Brake Control,5.297709887
38,01-06-2022 07:11,Dozer_1,Fuel,Pressure,58.27480876
27,21-06-2022 17:17,Articulated_Truck_1,Drive,Brake Control,8.47633582
43,27-05-2022 23:04,Dozer_1,Drive,Transmission Pressure,368.7206082
46,11-06-2022 03:09,Articulated_Truck_1,Misc,Exhaust Gas Temparature,192.8366399
15,30-05-2022 23:01,Excavator_1,Fuel,Temparature,336.9343488
47,24-05-2022 13:39,Excavator_1,Fuel,Level,2.119083955
24,26-05-2022 07:34,Backhoe_Loader_1,Drive,Pedal Sensor,3.291891882
41,05-05-2022 00:26,Dozer_1,Drive,Transmission Pressure,279.7190821
37,28-06-2022 18:23,Dozer_1,Misc,System Voltage,13.2871198
2,29-06-2022 18:42,Excavator_1,Engine,Temparature,98.53740391
8,07-05-2022 00:43,Excavator_1,Fuel,Pressure,38.14351119
36,26-06-2022 04:53,Articulated_Truck_1,Drive,Brake Control,2.119083955
40,12-05-2022 16:25,Dozer_1,Fuel,Level,7.416793842
29,26-05-2022 21:41,Excavator_1,Fuel,Water in Fuel,148.3358768
29,25-05-2022 20:53,Dozer_1,Engine,Temparature,109.1328237
2,14-06-2022 15:29,Backhoe_Loader_1,Drive,Transmission Pressure,232.0396931
41,05-05-2022 09:59,Articulated_Truck_1,Engine,Speed,1801.221362
41,26-05-2022 08:54,Dozer_1,Misc,System Voltage,14.20845845
13,09-06-2022 06:04,Excavator_1,Misc,System Voltage,13.01374972
12,05-05-2022 21:50,Backhoe_Loader_1,Drive,Pedal Sensor,4.749168475
39,20-05-2022 22:52,Articulated_Truck_1,Drive,Pedal Sensor,4.026259514
41,23-06-2022 02:41,Articulated_Truck_1,Drive,Transmission Pressure,399.4473255
4,23-06-2022 05:12,Backhoe_Loader_1,Misc,Air Filter Pressure,31.78625932
16,19-05-2022 21:20,Excavator_1,Fuel,Pressure,52.97709887
24,06-06-2022 07:17,Dozer_1,Drive,Pedal Sensor,4.162884565
30,12-05-2022 23:43,Backhoe_Loader_1,Engine,Speed,1520.442738
44,17-05-2022 23:32,Excavator_1,Drive,Pedal Sensor,4.850311441
32,08-06-2022 08:29,Backhoe_Loader_1,Fuel,Level,5.297709887
14,30-05-2022 21:15,Excavator_1,Engine,Oil Pressure,39.20305317
